epoch,train_loss,validation_loss,psnr
1,-22.913873288735925,-26.204466850280763,26.204466850280763
2,-27.129701439602915,-27.23645167541504,27.23645167541504
3,-27.92685062666813,-28.274966255187987,28.274966255187987
4,-28.4169802418743,-28.358735740661622,28.358735740661622
5,-28.61492306682693,-28.854121017456055,28.854121017456055
6,-28.902389290798233,-28.955678039550783,28.955678039550783
7,-28.97875866377021,-29.104267486572265,29.104267486572265
8,-29.072719604370604,-28.70418112182617,28.70418112182617
9,-29.194690886721666,-29.28954991912842,29.28954991912842
10,-29.33450311303614,-29.327405921936034,29.327405921936034
11,-29.28989544902665,-29.376307426452637,29.376307426452637
12,-29.451238920964094,-29.312609237670898,29.312609237670898
13,-29.430676228496658,-29.48129685974121,29.48129685974121
14,-29.53466126643329,-29.047057052612306,29.047057052612306
15,-29.516643486174928,-29.455918869018554,29.455918869018554
16,-29.626957091677237,-29.546813919067382,29.546813919067382
17,-29.51682424355313,-29.657021018981933,29.657021018981933
18,-29.659186207440744,-29.588724060058595,29.588724060058595
19,-29.639946637400595,-29.663770698547363,29.663770698547363
20,-29.74249930970697,-29.6236270904541,29.6236270904541
21,-29.73157684356568,-29.759678939819334,29.759678939819334
22,-29.71220245969248,-29.79797319793701,29.79797319793701
23,-29.83822208571719,-29.460558319091795,29.460558319091795
24,-29.80704252843363,-29.84760089111328,29.84760089111328
25,-29.846158175829398,-29.7160498046875,29.7160498046875
26,-29.884427849515024,-29.88280168914795,29.88280168914795
27,-29.910649728964998,-29.903185653686524,29.903185653686524
28,-29.93756203062506,-29.780003913879394,29.780003913879394
29,-29.930127079268377,-29.815947494506837,29.815947494506837
30,-29.905790328979492,-29.881709144592286,29.881709144592286
31,-29.977981445798836,-30.00400679016113,30.00400679016113
32,-29.966475080208948,-30.023646339416505,30.023646339416505
33,-30.011201296194617,-29.862002243041992,29.862002243041992
34,-29.972469132260024,-29.999536056518554,29.999536056518554
35,-29.968273322420767,-30.06503646850586,30.06503646850586
36,-30.063771889979147,-29.970870208740234,29.970870208740234
37,-30.056807453413885,-29.768236503601074,29.768236503601074
38,-30.07533274798754,-30.113989616394043,30.113989616394043
39,-30.0461399944655,-29.69865793609619,29.69865793609619
40,-30.07909236771177,-29.86463663482666,29.86463663482666
41,-30.099621867753594,-30.077306579589845,30.077306579589845
42,-30.133045720864104,-29.910738494873048,29.910738494873048
43,-30.11228111540654,-30.079396591186523,30.079396591186523
44,-30.049215354767455,-29.875705039978026,29.875705039978026
45,-30.06948995400235,-29.96285437774658,29.96285437774658
46,-30.138143721804674,-29.989019958496094,29.989019958496094
47,-29.936712804543543,-30.128705780029296,30.128705780029296
48,-30.14215107648021,-29.9400970993042,29.9400970993042
49,-30.1610180068301,-30.050454521179198,30.050454521179198
50,-30.080533920531256,-29.76302699279785,29.76302699279785
51,-30.13595790027147,-30.176142990112304,30.176142990112304
52,-30.146839681374598,-30.07285326385498,30.07285326385498
53,-30.185633822741263,-30.205665267944337,30.205665267944337
54,-30.110244051868698,-29.968301086425782,29.968301086425782
55,-30.2046698308086,-30.17599481964111,30.17599481964111
56,-30.145135704739634,-30.20172956085205,30.20172956085205
57,-30.17946590560366,-29.600224609375,29.600224609375
58,-30.162028400071588,-30.200381240844727,30.200381240844727
59,-30.173298254431007,-30.179109924316407,30.179109924316407
60,-30.204963250939116,-29.9492494430542,29.9492494430542
61,-30.176767698797097,-30.132713508605956,30.132713508605956
62,-30.227858098854583,-30.241931640625,30.241931640625
63,-30.228248801364366,-30.186807624816893,30.186807624816893
64,-30.197908515474236,-30.15091728210449,30.15091728210449
65,-30.210016676154268,-30.123625846862794,30.123625846862794
66,-30.231264045988897,-30.208622467041014,30.208622467041014
67,-30.173066690148584,-30.09136354827881,30.09136354827881
68,-30.185046974881235,-30.268499435424804,30.268499435424804
69,-30.25057704515191,-30.099431541442872,30.099431541442872
70,-30.24162269683473,-29.593341857910158,29.593341857910158
71,-30.158316942800088,-30.266159767150878,30.266159767150878
72,-30.25612872150315,-30.259151344299315,30.259151344299315
73,-30.20280279486303,-29.83395430755615,29.83395430755615
74,-30.279863661503885,-30.233955406188965,30.233955406188965
75,-30.27766098539193,-30.271421699523927,30.271421699523927
76,-30.274989625847198,-30.244542457580568,30.244542457580568
77,-30.284177673765388,-30.269102500915526,30.269102500915526
78,-30.25011349104315,-30.273035018920897,30.273035018920897
79,-30.283886236973494,-30.315395294189454,30.315395294189454
80,-30.303045842752038,-30.28921265411377,30.28921265411377
81,-30.304290262351472,-30.234452301025392,30.234452301025392
82,-30.266978282852477,-30.12862311553955,30.12862311553955
83,-30.279259761491144,-30.27976402282715,30.27976402282715
84,-30.325513649746718,-30.338081520080568,30.338081520080568
85,-30.302845046814696,-30.286227920532227,30.286227920532227
86,-30.340436464286896,-30.344277839660645,30.344277839660645
87,-30.289861169944245,-30.302400199890137,30.302400199890137
88,-30.302614751565027,-30.27740567779541,30.27740567779541
89,-30.29980286374035,-30.271051864624024,30.271051864624024
90,-30.346618591551763,-30.22745652770996,30.22745652770996
91,-30.30477159811681,-30.251337188720704,30.251337188720704
92,-30.337879051725228,-30.33165145111084,30.33165145111084
93,-30.3219633140412,-30.205558601379394,30.205558601379394
94,-30.358059643749222,-30.353619537353516,30.353619537353516
95,-30.340189823591377,-29.89545124053955,29.89545124053955
96,-30.302637753733602,-30.115018043518067,30.115018043518067
97,-30.291787804835344,-30.297422142028807,30.297422142028807
98,-30.36778507004696,-30.3667449798584,30.3667449798584
99,-30.354880253157294,-30.340410690307618,30.340410690307618
100,-30.359623426460175,-30.3418607711792,30.3418607711792
